ReviewerName,ReviewTitle,Reviews,Rating
Merrill,High initial failure rate... but works well,"Recently cut the cable and converted TVs to firesticks. Bought a total of 7 firesticks... 4 at Best Buy for full price ($49.99) and then 3 more on Amazon for $24.99 ea ... 2 of 4 Best buy purchased firesticks failed upon installation (Which they were great about replacing), but it was a hassle. Also note that you can buy firesticks already linked to your Prime account on Amazon (kinda cool and saves on installation time) but they limited me to buying 3 at a time (for some bizarre reason).  One final pet peeve - Firesticks always startup on their homepage... so if you are like me and kept basic cable (for local channels), you always have to scroll thru all the preloaded apps to find the one your local provider uses -- PITA and lots of wasted effort. System should start you up where you left off.",4
Mark R. Wietstock,Works great,"Works great. Not hard to set up. I was able to put the channels I subscribe to up top so I just click on them or use the mic.  I also realized it easier to go to the channel that you want and then search by voice once there. For instance. Voice search from the home page for Guy Fieri brought up one Season of one show. When I went to my Amazon Prime channel first and did a voice search from there, I found a least five shows of his. Anyway it's a great improvement on the old Roku I had. I didn't know you have to plug it in though. I thought the power would come from the TV. Not a big deal though I just use an extension cord to stretch it to the outlet.",5
Paul M,must have internet service!,"Purchased & connected easily to a 6 yr old Samsung 55"" smart TV with only a basic generic subscription for local broadcast .. no premium channels .. which is part of & included from monthly HOA fees. With internet service & wifi the Firestick 4K opens up offering an abundance of available downloadable free apps offering various categories & many free viewing choices without the need to subscribe to satellite channels. All that is needed is internet. Follow included instruction sheet & start enjoying a wide range of available tv.. Links easily to tv and also with Amazon prime. Do be aware app storage is limited to less than 5mb of storage considering some apps seem to be permanently attached.",3
susan l. sedia,Makes watching tv so much easier.,"If you don't have a smart tv then I would highly recommend the Fire stick. Its super easy to get to all of my favorite media apps so I can get to watching tv faster than ever. It's super easy to setup, and there's very little lagging when scrolling through apps. Voice control is a great feature as well, because its convenient to use when I cant reach for my remote.",4
milo,Love the fire stick wish it had lasted longer than 7 months.,Love the fire stick. Although this one  Only lasted 7 months.... we have bought 2 others they lasted longer.  But thats how it goes sometimes.  Definitely going to get another one. Because there nice to have..  have apps all on the stick . Sweet.  Can take with us when we go some were. What's not to love.,5
Kama,Muy buen producto!,"Superó mis expectativa. Aunque al principio es algo difícil entender como funciona, después de que uno se acostumbra todo es sumamente sencillo.ADVERTENCIAS:  1) Si usted está en Latam y la cuenta Amazon está configurada para USA, las aplicaciones que descargue serán las versiones de USA y muchas no les van a funcionar, por ejemplo Paramount+, en este caso deberá conseguir en otra tienda de app la versión para Latam.  2) Si por alguna razón la cuenta Amazon vinculada es bloqueada, el dispositivo también se va a bloquear, deberá llamar a Amazon y pasar el interrogatorio de seguridad para desbloquear la cuenta y reactivar todos los dispositivos, incluyendo Tabletas, TVs, Echo, etc. (todo lo que sea mazon se bloquea). Si luego no se desbloquean automáticamnete, deberá comunicarse con soporte para que lo reinicien y deberá descargar y configurar todo de nuevo desde cero.  Fuera de esos dos detalles que aprendí en carne propia, el equipo vale la pena, las actualizaciones del SO y de las APPs se realizan automáticamente cuando no está en uso el dispositivo, fluye muy bien (poco lag), la imágen es muy buena, el sonido es bueno.  Alexa a veces funciona, aveces no, pero es bien sabido que en idioma castellano ella aún está aprendiendo, sin embargo es funcional y cuando ella no entiende algún comando que le damos, con utilizar algún sinónimo puede que si sea efectiva.  En definitiva lo recomiendo.",5
E sapp,using now with my LG TV,"I have an LG smart TV but still need to use this device.  The reason why is because for some strange reason, the LG content store is really bad meaning, it's missing a lot of apps, off the top of my head, I cannot get Fox Nation or paramount plus in the LG content.  This amazon fire device has all the apps including the fox nation and paramount plus app so I can watch my programs.  The remote easily pairs and I can use the fire remote to control the entire tv.",5
Sergio Cordova,Works great,"My son brought his fire stick to my house when he came to recuperate from knee replacement.  He said that he also takes it on work trips as he uses it in the hotels.  I was impressed at how easy it was to get to Amazon and Netflix and several other platforms.  So I ordered two for myself, one for upstairs and one for downstairs.  It is so much easier to use than I had expected and makes life more enjoyable. Worth the money, especially since the first one was on sale.",5
John Lee,Love it!!,This is my 6th one I have bought. I like this one the best of all. I really like Alexa in this remote. Great for the price. They can last so very long. All but one are still in use. I just keep adding them to all my t.v. In each room. Mine was the last room I put a t.v.in. I had never wanted to be someone who stayed in bed watching one for long. I liked being out in living room and basement. I love relaxing in my room now. I will keep on buying this product.,5
GrammaBof5,Losing its Mind,"Over the years, we've ""settled down"" between the myriad brands (Apple, Roku, etc.) and enjoy and depend on the Firesticks. They're reliable and inexpensive. I will say though, that this recent one consistently ""goes to the wrong place"" when choosing something we're already watching or when ""switching"" to another vendor (HBO, APPLY, HULU) through the Fire-stick portal. For example, no matter what HBO show you choose, it will always go to the start of one specific show, and it's a small circus of ""back and forth"" on the remote to get it to the right place. Often shows will go to a season two years past rather than to the latest release. It's maddening. Every week I play the game of having to find the show, click on the right season, and then scroll to the last episode. These are COMPUTERS! And, they previously worked. 'not sure if it's the latest software or firmware, but they're ""dropping the ball"" on the user-interface programming. It's like having a functioning NASA rocket, but it always takes you to Houston rather than the moon.",5
