ReviewerName,ReviewTitle,Reviews,Rating
Merrill,"Arrived broken, after 3 hours talking to Amazon it's still not being replaced!!!","DO NOT BUY FIRE TV DEVICES!!! CHOOSE ANOTHER STREAMING PLAYER BRAND!!!Worst customer service experience in my life from Amazon!!!! Amazon sent me a completely broken Fire TV 4k stick! From day one the audio cuts out entirely after a few mins of playing a video, and does not return until stick is physically unplugged from power. Then it cuts out again. Problem occurs in all video apps, and I tried full software restore, plugging into multiple different TVs, as well as different audio connections (direct to TV through HDMI, Through receiver, through bluetooth on multiple devices.) And my other Fire TV 4k of the same model works fine in this same TV, so... THE STICK IS BROKEN! So I contact Amazon through their chat interface and Parmish is a total disaster at helping me. I tell him that I have done a full software restore on it, at which point he responds that I need to do a full software restore. Ya know, the thing I just told him that I did already. Then I tell him I have already tried plugging the fire TV directly into the TV with no sound receiver, and he says ""well than what I need you to do is plug the fire TV directly into the TV with no sound receiver."" This happened over and over. It was like a bad joke. But I wasn't laughing. Finally after about an hour of this nonsense he decides that my Fire TV stick needs to be replaced. Then he says I ""Have no card on file"", what ever that means. So after about 10 more unanswered and ignored questions to him about just what he's talking about I finally figure out he means my Amazon account has no credit card on file. But it does have a card on file. I log in and verify this. The card is up to date and working, and amazon had just charged it that day even. So I tell him this, and he responds that I need a credit card on file in order to send out a replacement, even though it won't be charged. I tell him again that the card is on file and working, and he says it need to be updated. Even though it does not. So I hit ""edit"" on my card info on file, and resubmit the same working card. Parmish sees this on his end and says thank you. Then he says I need to update my OTHER CARD on file. I look and there is an old credit card from 6 years ago on the account from a bank I no longer use, and its not even selected as the active/favored card, so It doesn't even matter that it there, but I delete it anyways just to be sure. Then Parmish says I need to reenter and update that old card (that I no longer bank with) in order to get a replacement sent out. At this point I'm done with Parmish. The whole conversation was absolutely ridiculous! I say ""thank you for the help but I need a supervisor. Please transfer me to a supervisor.""So Parmish transfers me to Vikas. I ask Vikas if he is a supervisor and he says ""no."" (Are you surprised by this? I wasn't.) So I explain that I was suppose to be transferred to a supervisor and ask that Vikas transfer me directly to a supervisor. And I'm transferred to Annal.I ask Annal if they are a supervisor, and they answer... get ready for it... are you ready... they answer ...""No"" !!!!!!!!! They &^^&%&$^^%^ answer ""No.""So I close the chat window I just wasted over an hour on and I call Amazon. This is where the real nightmare begins. I start off with a regular customer service rep and I ask her to transfer me to a supervisor right away because this will be my 4th attempt to get a supervisor. She is very polite and gets me a supervisor on the line write away. I explain the entire issue with the Fire Tv 4k Stick and everything I have done to troubleshoot it already YET AGIAN, and the supervisor apologizes for all the insane trouble I've been having. She sounds like she really wants to help me, asked some more questions, and then tells me that she can't replace this particular model because its out of stock. I had just checked the stock, so I knew it wasn't out. I checked it again, and then told her it appears to have plenty of stock. She verified what model it was again, then said ""oh yes, I guess we do have it, let my put you on hold while I try to send you one."" She comes back a while later and says ""the system won't let me send you one. I have to transfer you to a Fire TV Specialist, buy I'll get you a manager there as well.So then I have to go through the whole thing again with this new Fire TV Specialist person. She keeps putting me on hold to check things over and over again. And she has me do crazy things - For example, she insists I go to my TV, unplug the other working Fire TV I now have in there, and plug this broken one back in, then load it up and read the serial number off of it to her from the info screen. Why? Doesn't she already have that info? She should. And WHY AM I PLUGGING A $25 DEFECTIVE BROKEN DEVICE BACK INTO MY $2,000 FLATSCREEN??!!! I don't want to do that. I shouldn't be asked to do that. What the hell? Then she keeps checking to see if I'm still in warranty. REALL???!!! I JUST got this stick in the mail. I JUST GOT IT. How long is the warranty period that she has to keep checking on.. 5 hours after purchase. Also, this is a brand new model that just came out. HOW COULD ANY OF THEM POSSIBLY BE OUT OF WARRANTY??!!Finally after 3 HOURS of talking to people about this and a final, particularly long hold while the Fire TV Specialist person tries to figure out if I can be sent a replacement - I give up. I tell her I'll just return it instead - just so I can just get off the phone. But I'm NOT returning it - That too would probably turn into another huge nightmare. It's not worth my $25 for all this aggravation. So... I'M DONE. This is ridiculous! After speaking with a total of SIX people for over THREE HOURS.. My brand new Fire TV 4K stick in now in my trash can and I'm never buying a Fire TV product again. All Amazon need to do was have me send in my broken one and then send out a replacement. That's It. They could have sorted out all their serial numbers and insane data requirements after they got my stick back. AS a customer, I simply got something in the mail that arrived broken and I wanted it replaced soon after I got it. How simple of a transition is that? But instead I got this torrent of poor customer service and bizarre data mining. SO.. Officially.. I'm no longer a Fire TV user.I'm currently switching my entire smart TV ecosystem for the entire house over to Google's Android TV now, I've had it with Fire TV, and I suggest you do the same. Android TV systems don't suffer from the same app limitations that Amazon does (IE with Fire TV you get access got about 12% of the Android apps available to the rest of the Android TV world, Even though Fire TV runs on Android, and you can install what ever apps you want on your Android TV device without having to TRICK IT into installing it), it still works and runs apps (like playing a game or looking at photos) even if your internet connection goes down (Fire TV becomes a useless brick without constant internet), and the whole thing just seems to run better. I don't have time to deal with Amazon's nightmare anymore. All I needed was for Amazon to replace the broken Fire TV stick they JUST sent me, and they can't even do that. So, ummmm... BYEEEEEEEEEE!!!!!",4
Mark R. Wietstock,Unreliable. Multiple connection drops every day,"We purchased a 4K Ultra HD Fire Stick as a replacement for a Fire Box that we had for the last 4 years.  The old Fire Box worked well and was reliable except for a needed occasional reboot every month or so.  This new Fire Stick is anything but reliable.When the Fire Stick works, we do not have any complaints.  However, what constitutes this one-star review is the Fire Stick’s propensity to stop streaming (as indicated by the rolling circle on the screen) due to loss of internet connection.  Most days this occurs multiple times. (As an aside Wifi connection is not lost at this time.)  Last night was the worst, four loss of connections during a two hour movie.This loss of connection is specific to the Fire Stick.  When the Fire Stick has a connection loss with the internet, our tablets, desktop, as well as Alexa unit (no less than a foot from the Fire Stick) all stay connected to the internet and work properly, so not an ISP issue.  I have switched the Fire Stick to various HDMI ports on the TV and use the HDMI extender cable and the loss of connection issue continues to occur.  This a Fire Stick specific issue.We contacted Customer Service and working with them was taxing.  The first call was disconnected in the middle of the call without an resolution.  Upon calling back and restating the issues, the second rep said the issue was due to the ISP (which couldn’t be the case since our other devices were connected and working properly when the Fire Stick lost connection) and/or reboot the stick each time the problem happened (rebooting the Fire Stick multiple times in one night is an unacceptable suggestion).  I’ve asked for a replacement, but if the same issues occur, it’ll be time to investigate another streaming device.I do not know if this issue is caused by the need to place the stick behind the TV and/or a software or hardware issue, but we are very disappointed in lack of reliable quality of the new Fire Stick.  Hopefully the placement stick will work.An update:  Customer Service told me to have faith that downloading the latest updates would solve my problem.  Updates were downloaded and the problem was not fixed.  The Fire Stick still has connectivity issues. The Fire Stick has some defect.",5
alternative Travel Press,Annoying if you don’t want/have kids+,"I bought this to limit the time my kids spend on the tv. We bought them fire tablets 2 summers ago and it came with the year of “freetime” (what kids+ used to be called) and I kinda liked it kinda didn’t, that would be a review for the tablet though. Anyway, we decided not to keep it when the year was up and their tablets currently just have games/movies that I’ve bought and added manually. None of the kids+ stuff shows up. Obviously, right, since I don’t pay for it. However, on the tv, it clogs up the whole tv with locked kids+ content. My kids have to scroll through like 8 rows of locked categories before getting to the “added for you” row. What the heck! I contacted customer service and they said to deregister it and then register it again. That worked for a few minutes but the next time I went back to the kids profile it was all back again. I’ve only had the thing for like a week but if I can’t get this stuff to go away I think I’ll have to return it and seek a refund for the games I just bought since they can’t even find them lost in all the locked content.The stick itself stream quality is just fine, we have a Roku tv though and it’s probably the same so we don’t need it. Just bought for the kids features. Alexa so far hasn’t done anything I’ve asked, doesn’t really understand things as well as Siri, and doesn’t work in kids profile (might be a setting to change that though) so eh as far as she goes.",3
Kindle Customer,Not compatible with Toshiba Fire TV on the same network.,"I bought a fire stick 4k and a 4k max to replace 2 chromecasts with the intention of being able to tell Alexa to power on and off one of the existing TV instead of having a routine for Alexa to tell google assistant to turn off the TV.I already have a Toshiba Fire TV with Alexa built in working perfectly (before these showed up).  If I link a second fire device (4k/4kmax), I am only be able to pause playback using the linked echo device on any of the fire devices. If I use the Alexa button on the remote I have full Alexa functionality, but none of my echo devices will function correctly after adding either fire stick to the app. I tried researching fixes and tried everything I could think of to make it work before calling tech support.Tech support told me to try a couple fixes that I had already tried before calling with no success. I was transferred 3 times  and finally they just told me to return them. After sending the return information via email, I left with a connected call and no responses or music from the support side. I waited a few minutes for a response before giving up and hanging up. Tech support seems to have limited knowledge concerning the devices they support. I used the online support tool before calling, and calling just resulted in them basically reading the online support site to me.I was going to purchase another TV with the Fire TV built in, but now I doubt I will because I dont want to have to return it because it breaks the system.The amount of money involved is nothing to them, but I will probably never buy or reccomend another Alexa product based on this experience.",1
Amazon Customer,COMPLET LOSS OF  RESPECT FOR AMAZON!!!!!!!!!,"I ordered three fire sticks and two of them are fine but the third does not have the same functions as the first two that allow me to download unknown apps. I need this function on all three and AMAZON CS told me that there was nothing she could do for me fix it. She did let me know that she would send my complaint over and i could expect to hear from Amazon in 2 or 3 days!!! Meanwhile she can't hear half of what I'm asking because her dog is barking in the background. She also could not help me at all navigate the settings she tried to walk me though. So, know i have a streaming service i can only use on two of the three tv sets. I guess Amazon thinks I will just need to purchase another service as well if I want to use their equipment??????? This is something that could have been resolved in two min, but I was on the phone for an hour and got the run around. I asked to talk to someone else and was told I would need to hang up and reach out to another number!!! I guess another hour of my time is no big deal to them.",1
Sidewinder623,When is AMAZON going to answer my problem as they promised they would.,"I purchased two Fire Sticks, one works perfectly.  The second one will not allow me to log onto the Apple TV app.  I have spoken with two Amazon Reps in Customer service and one told me it wasApples Fault, the second one said that someone would get back with me.  I also been on chatt with another and they said that to call Apple.  I told them that I did and Apple's Engineers got back with me after checking it out and said that it was Amazon's fault.  I offered to exhange the Fire Stick with the Rep.  He told me that He will work on it and would get back with me.  After three days NOTHING.  You customer Service is terrible.  When APPLE said that would get back with me at 12:00 noon eastern time today, they did just that.  I am going to wait till the exchange date expires for you to do something.  I have been more than reasonabale by offering to send you my fire stick for a new one.  PLEASE SAY SOMETHING.",1
Jeff Fox,These things are HORRIBLE,"We have replaced several of these for the same issue. It just recently started happening to us, though. The audio and video will not sync up properly. So we hear something, but it is not in time with the video. So we either hear their voice and then the mouth moves, or the mouth moves and then we hear the voice. We have tried to sync them manually following instructions given by the support team and what we found online. It isn't perfect, but it is better. After a little while, it is VERY noticeable again. It is not limited to one application, either. We have seen it happen on Prime Video and YouTube TV. I have not had these issues using our Smart TVs. Since it works fine on Smart TVs, and since it is not just one application, the FireStick TV Stick 4k is the last remaining culprit.When we used Hulu+, it would just kick us out or lag forever. Did not have as many issues with that when I used either a Smart TV or my PS4. Just a horrible product. I am going to try to get Rokus for my other TVs and see if that helps at all.I did not use Alexa or voice commands very often, so I do not have a large sample size, but it seems to work fairly well for those types of functions.",1
Douglas E. Koliboski,FireTV stick 4K was delivered defective and Amazons response was 15% off next one I buy,"FireTV stick 4K was delivered defective and never worked, no registration information or applications were ever downloaded, a 3 second fire tv logo is the only thing it would do... I tried searching online for a possible quick fix but the only option left was calling Amazons tech support and after an hour on the phone, nothing worked...unplug, wait10 minutes, plug back up, restart....change out adapter...change batteries...factory reset...etc... After being put on hold for another long period as he spoke to his supervisor, his response was that I needed to purchase another Firestick 4K with a 15% ...I thought this situation would have been made right by offering to send me a replacement Firestick 4K and a return postage box for the defective product...that way Amazons Quality Control could inspect and verify that  it wouldn't boot up beyond the initial firetv logo...I guess it's just more convenient for them to resort to ""plausible deniability"" on their end and ignore my petty grievances as just someone trying to scam them for free merchandise or that through my own my error that made it defective. I've had 6 Firesticks over the past few years, mostly because of the generation upgrades and never have I  experienced an issue like this... I've spent a great deal of time researching online for a solution...a great deal of time waiting on hold to speak to an Amazon representative...where I have to speak slow and simple English because it's to a foreign call center....constantly having to ask the technician to repeat because of accent or the limited basic vocabulary, especially having to translate technical terms all while  being put on hold for lengthy periods of time made it extremely challenging...if not for optimistic hopes of possibly solving this problem soon then my patience would have gotten the best of me...Amazon failed in it's responsibility of ensuring quality service and product.  I can assure you, my time invested in trying to make this right would equal 4 times the value in price I paid expecting a fully functioning Firestick 4K...and what aggravates me the most is that Amazon shows no effort in providing good customer service or responsibility in the quality of their products....Is it my integrity being questioned by some gaslighting Amazon employee over a 35 dollar transaction they failed to honor? dayKeep th' change, my integrity ain't for sale.Good day to you",1
Kelly Gressman,Used/damaged ?,I have a fire stick lite that I use a lot but I wanted something with a little more punch and I saw the 4k stick was on sale for half off so I jumped on it and bought it. Then I received it and the box looked like it was opened and or damaged. I connected the stick to my tv to start the set up process and that’s when I noticed how slow it was going. It felt like there was a delay in the input. So I changed the batteries hoping that was the fix but it wasn’t. When I went to make sure it has the latest update I had to literally update it 6 times. Then I noticed that a few features were missing and so I went back to see if I had another update and sure enough I ended up updating 2 more times but the features were still missing. So I downloaded my first app and it took about 5 min to download and that’s when I got fed up and just threw it in the trash.,1
Patrick Rice,Causes interference on the HDMI Bus,"I purchased this 4K Fire TV device along with an Ethernet adapter, since I have a network switch under my TV that has a direct connection to my router. This way I don't have the rely on wifi for HD reception. I hooked every up and it all seemed to be working fine on one of my spare HDMI ports on my Sony TV. As the days went by I started noticing that watching various movies from my Home screen, on Netflix, Prime Video, and Hulu, that I would get audio drop outs on my Sonos Beam Soundbar. When this would happen, I would back up the movie to see if the problem was with the movie, but it never was. It was getting so bad, that I also lost my surround speakers and they would come and go intermitently. I contacted Sonos, who has a very good support staff. After a couple of calls and sending them diagnostic codes, they told me that there was noise on the HDMI Bus and asked what other devices were plugged in. The only two devices were my Sony Blu-Ray player and the newly introduced Fire TV. Since I have the Blu-Ray player plugged in for over two years, I removed the Fire TV.  Right away, I notice a difference.  My surrounds came back and worked well, and as the evenings went by, I noticed that I stopped getting the audio drop outs. Actually, the Fire TV is only a platform to load and install apps that you have to pay for anyway. It's like my old Roku box which I removed a while back when Sony told me that I would need a CEC-less adapter for Roku.  So, now it's less than one month and I don't know what to do. I placed everything back in their original boxes and may give Amazon a call tomorrow. Otherwise, I may just hold on to the two devices and see if anyone else wants them.",1
